dataset,mode,query #,timeRange,results size,TTI Time (sec),PostgreSQL Time (sec),InfluxDB Time (sec),Memory (Gb)
bebeze,timeQueries,153,2018-01-13 04:23:22 - 2018-01-22 05:05:42,4606,0.013055834,0.0,0.0,581688
bebeze,timeQueries,156,2018-01-16 19:43:48 - 2018-01-25 20:26:09,6306,0.242826084,0.0,0.0,584264
bebeze,timeQueries,159,2018-01-19 01:54:39 - 2018-01-23 14:15:49,4742,0.01361275,0.0,0.0,584264
bebeze,timeQueries,162,2018-01-20 04:59:56 - 2018-01-22 11:10:31,5470,0.011510791,0.0,0.0,584264
bebeze,timeQueries,165,2018-01-19 01:54:39 - 2018-01-23 14:15:49,4742,0.014135583,0.0,0.0,584264
bebeze,timeQueries,168,2018-01-16 19:44:04 - 2018-01-25 20:26:24,6306,0.016050583,0.0,0.0,584264
bebeze,timeQueries,171,2018-01-13 20:36:42 - 2018-01-22 21:19:03,5930,0.015283833,0.0,0.0,584264
bebeze,timeQueries,174,2018-01-16 02:48:15 - 2018-01-20 15:09:25,6014,0.01570875,0.0,0.0,584264
bebeze,timeQueries,177,2018-01-15 04:17:45 - 2018-01-19 16:38:55,7894,0.024107542,0.0,0.0,584264
bebeze,timeQueries,180,2018-01-15 14:24:46 - 2018-01-20 02:45:56,7094,0.020494458,0.0,0.0,584264
bebeze,timeQueries,183,2018-01-13 08:14:56 - 2018-01-22 08:57:16,4606,0.012660584,0.0,0.0,584264
bebeze,timeQueries,186,2018-01-07 18:37:11 - 2018-01-16 19:19:32,5930,0.011571625,0.0,0.0,584264
bebeze,timeQueries,189,2018-01-10 00:48:16 - 2018-01-14 13:09:27,5414,0.061407583,0.0,0.0,585920
bebeze,timeQueries,192,2018-01-11 03:53:34 - 2018-01-13 10:04:09,5786,0.012380625,0.0,0.0,585920
bebeze,timeQueries,195,2018-01-11 17:26:13 - 2018-01-12 20:31:30,5496,0.012196959,0.0,0.0,585920
bebeze,timeQueries,198,2018-01-10 18:48:40 - 2018-01-11 21:53:57,4042,0.113538458,0.0,0.0,594688
bebeze,timeQueries,201,2018-01-11 14:06:37 - 2018-01-12 17:11:54,5496,0.012187792,0.0,0.0,594688
bebeze,timeQueries,204,2018-01-10 14:03:26 - 2018-01-11 17:08:44,4602,0.078943375,0.0,0.0,600580
bebeze,timeQueries,207,2018-01-09 12:36:10 - 2018-01-10 15:41:28,3568,0.369434417,0.0,0.0,631316
bebeze,timeQueries,210,2018-01-09 05:39:43 - 2018-01-10 08:45:00,3824,0.112741916,0.0,0.0,639836
bebeze,timeQueries,213,2018-01-08 06:46:26 - 2018-01-09 09:51:44,3524,0.347073209,0.0,0.0,667488
bebeze,timeQueries,216,2018-01-08 13:33:39 - 2018-01-09 03:06:17,3200,0.21355275,0.0,0.0,700184
bebeze,timeQueries,219,2018-01-08 18:57:58 - 2018-01-09 08:30:37,4474,0.094421458,0.0,0.0,713348
bebeze,timeQueries,222,2018-01-08 22:20:07 - 2018-01-09 05:06:26,3200,0.112041166,0.0,0.0,746044
bebeze,timeQueries,225,2018-01-09 04:41:19 - 2018-01-09 11:27:39,6196,0.109343875,0.0,0.0,776732
bebeze,timeQueries,228,2018-01-09 01:19:15 - 2018-01-09 14:51:54,5176,0.06676775,0.0,0.0,785092
bebeze,timeQueries,231,2018-01-08 20:09:29 - 2018-01-09 09:42:08,7572,0.01788175,0.0,0.0,785092
bebeze,timeQueries,234,2018-01-08 23:32:12 - 2018-01-09 06:18:32,6196,0.011351458,0.0,0.0,785092
bebeze,timeQueries,237,2018-01-08 20:09:03 - 2018-01-09 09:41:42,7572,0.019196166,0.0,0.0,785092
bebeze,timeQueries,240,2018-01-08 13:22:43 - 2018-01-09 16:28:01,6524,0.012880042,0.0,0.0,785092
bebeze,timeQueries,243,2018-01-07 23:50:05 - 2018-01-10 06:00:40,3676,0.132185,0.0,0.0,790280
bebeze,timeQueries,246,2018-01-08 13:22:43 - 2018-01-09 16:28:01,6524,0.0119295,0.0,0.0,790280
bebeze,timeQueries,249,2018-01-07 23:50:05 - 2018-01-10 06:00:40,3676,0.011097791,0.0,0.0,790280
bebeze,timeQueries,252,2018-01-08 13:22:43 - 2018-01-09 16:28:01,6524,0.01204625,0.0,0.0,790280
bebeze,timeQueries,255,2018-01-08 20:09:03 - 2018-01-09 09:41:42,7572,0.018810792,0.0,0.0,790280
bebeze,timeQueries,258,2018-01-09 01:51:47 - 2018-01-09 15:24:26,5306,0.024998916,0.0,0.0,791768
bebeze,timeQueries,261,2018-01-09 00:01:04 - 2018-01-09 13:33:43,5176,0.014203917,0.0,0.0,791768
bebeze,timeQueries,264,2018-01-08 15:59:00 - 2018-01-09 05:31:39,6072,0.014597917,0.0,0.0,791768
bebeze,timeQueries,267,2018-01-08 06:38:54 - 2018-01-08 20:11:33,4830,0.125299792,0.0,0.0,808544
bebeze,timeQueries,270,2018-01-07 19:11:54 - 2018-01-08 08:44:33,4338,0.193910084,0.0,0.0,836212
bebeze,timeQueries,273,2018-01-07 12:26:19 - 2018-01-08 15:31:37,5670,0.132106917,0.0,0.0,844516
bebeze,timeQueries,276,2018-01-07 17:28:34 - 2018-01-08 20:33:51,5666,0.013356125,0.0,0.0,844516
bebeze,timeQueries,279,2018-01-06 21:03:13 - 2018-01-08 00:08:31,3966,0.249042625,0.0,0.0,863164
bebeze,timeQueries,282,2018-01-07 04:08:02 - 2018-01-08 07:13:20,4780,0.011409709,0.0,0.0,863164
bebeze,timeQueries,285,2018-01-07 10:54:34 - 2018-01-08 00:27:13,4662,0.149301459,0.0,0.0,883248
bebeze,timeQueries,288,2018-01-07 20:12:09 - 2018-01-08 09:44:48,4338,0.007928792,0.0,0.0,883248
bebeze,timeQueries,291,2018-01-07 13:25:18 - 2018-01-08 16:30:36,5848,0.014655125,0.0,0.0,883248
bebeze,timeQueries,294,2018-01-06 23:52:39 - 2018-01-09 06:03:14,4158,0.016343542,0.0,0.0,883248
bebeze,timeQueries,297,2018-01-07 13:25:18 - 2018-01-08 16:30:36,5848,0.01499675,0.0,0.0,883248
